number;sboid;validFrom;validTo
#1030;100950;01.01.1900;31.12.2099
#1033;100175;01.01.1900;31.12.2099
#1033;100951;01.01.1900;31.12.2099
#1034;100189;01.01.1900;31.12.2099
#1035;100194;01.01.1900;31.12.2099
#1036;100176;01.01.1900;31.12.2099
#1036;100205;01.01.1900;31.12.2099
#1037;100233;01.01.1900;31.12.2099
#1044;100262;01.01.1900;31.12.2099
#1049;101013;01.01.1900;31.12.2099
#1049;101171;01.01.1900;31.12.2099
#1049;101819;15.10.2021;31.12.2099
#1051;100161;01.01.1900;31.12.2099
#1052;101024;01.01.1900;31.12.2099
#1053;100222;01.01.1900;31.12.2099
#1056;101034;01.01.1900;31.12.2099
#1057;101046;01.01.1900;31.12.2099
#1057;101047;01.01.1900;31.12.2099
#1057;100260;01.01.1900;31.12.2099
#1057;100291;01.01.1900;31.12.2099
#1060;101049;01.01.1900;31.12.2099
#1063;100253;01.01.1900;31.12.2099
#1064;100244;01.01.1900;31.12.2099
#1066;100947;01.01.1900;31.12.2099
#1071;100989;01.01.1900;31.12.2099
#1072;100993;01.01.1900;31.12.2099
#1073;100230;01.01.1900;31.12.2099
#1074;101019;01.01.1900;31.12.2099
#1074;100269;01.01.1900;31.12.2099
#1081;100213;01.01.1900;31.12.2099
#0001;100001;01.01.1900;31.12.2099
#0001;100506;01.01.1900;31.12.2099
#0008;100154;09.06.2020;31.12.2099
#0032;100042;01.01.1900;31.12.2099
#0032;100044;01.01.1900;31.12.2099
#0032;100634;01.01.1900;31.12.2099
#0035;100049;01.01.1900;31.12.2099
#0040;100024;01.01.1900;31.12.2099
#0040;100632;01.01.1900;31.12.2099
#0041;100063;01.01.1900;31.12.2099
#0042;100058;01.01.1900;31.12.2099
#0042;100606;01.01.1900;31.12.2099
#0044;100062;01.01.1900;31.12.2099
#0045;100707;26.11.2020;31.12.2099
#0051;101754;01.06.2019;31.12.2099
#0051;100878;01.01.1900;31.12.2099
#0052;100540;01.01.1900;31.12.2099
#0053;100311;01.01.1900;31.12.2099
#0054;100325;06.02.2019;31.12.2099
#0054;100871;17.10.2018;31.12.2099
#0055;100872;26.11.2020;31.12.2099
#0056;100874;01.01.1900;31.12.2099
#0056;100343;15.07.2019;31.12.2099
#0056;100344;15.07.2019;31.12.2099
#0081;101244;01.01.1900;31.12.2099
#0082;101241;01.01.1900;31.12.2099
#0083;101242;01.01.1900;31.12.2099
#0084;101240;01.01.1900;31.12.2099
#0085;101231;01.01.1900;31.12.2099
#0086;101232;01.01.1900;31.12.2099
#0087;101243;01.01.1900;31.12.2099
#0088;101229;01.01.1900;31.12.2099
#0105;100008;01.01.1900;31.05.2019
#0105;100008;01.06.2019;31.12.2099
#0105;100009;01.01.1900;31.12.2099
#0105;100011;01.01.1900;31.12.2099
#0105;100021;01.01.1900;31.12.2099
#0105;100524;01.01.1900;31.12.2099
#0105;100617;01.06.2019;31.12.2099
#0105;100617;01.01.1900;31.05.2019
#0105;100651;01.01.1900;31.12.2099
#0109;100007;01.01.1900;31.12.2099
#0109;100052;01.01.1900;31.12.2099
#0109;100067;01.01.1900;31.12.2099
#0109;100112;01.01.1900;31.12.2099
#0109;100546;01.01.1900;31.12.2099
#0109;100032;11.10.2021;31.12.2099
#0114;100017;01.01.1900;31.12.2099
#0114;100113;01.01.1900;31.12.2099
#0115;100014;01.01.1900;31.12.2099
#0117;100661;01.01.1900;31.12.2099
#0120;100012;01.01.1900;31.12.2099
#0120;100566;01.01.1900;31.12.2099
#0120;100301;01.01.1900;31.12.2099
#0121;100327;01.01.1900;31.12.2099
#0121;100948;01.01.1900;31.12.2099
#0122;100019;01.01.1900;31.12.2099
#0122;100071;01.01.1900;31.12.2099
#0122;100678;01.01.1900;31.12.2099
#0129;100027;01.01.1900;31.12.2099
#0132;100131;01.01.1900;31.12.2099
#0136;100020;01.01.1900;31.12.2099
#0136;100037;01.01.1900;31.12.2099
#0136;100060;01.01.1900;31.12.2099
#0136;100101;01.01.1900;31.12.2099
#0136;100669;01.01.1900;31.12.2099
#0139;100036;01.01.1900;31.12.2099
#0141;100654;01.01.1900;31.12.2099
#0142;100236;01.01.1900;11.12.2021
#0142;100237;01.01.1900;11.12.2021
#0142;100030;01.01.1900;31.12.2099
#0142;100616;01.01.1900;31.12.2099
#0145;100657;01.01.1900;31.12.2099
#1100;100219;01.01.1900;31.12.2099
#0209;100095;01.01.1900;31.12.2099
#1906;101751;27.01.2020;31.12.2099
#1238;100997;01.01.1900;31.12.2099
#0016;101807;01.05.2020;31.12.2099
#0016;100142;01.01.1900;18.01.2022
#0016;100151;01.01.1900;18.01.2022
#0016;100015;01.01.1900;31.12.2099
#0016;100016;01.01.1900;31.12.2099
#0016;100026;01.01.1900;31.12.2099
#0016;100033;01.01.1900;31.12.2099
#0016;100043;01.01.1900;31.12.2099
#0016;100056;01.01.1900;31.12.2099
#0016;100059;01.01.1900;31.12.2099
#0016;100069;01.01.1900;31.12.2099
#0016;100421;01.01.1900;31.12.2099
#0016;100855;01.01.1900;31.12.2099
#0016;101175;01.01.1900;31.12.2099
#0812;101182;01.01.1900;31.12.2099
#1245;101006;01.01.1900;31.12.2099
#0813;100530;01.01.1900;31.12.2099
#0007;100589;01.01.1900;31.12.2099
#0007;100602;01.01.1900;31.12.2099
#0007;100603;01.01.1900;31.12.2099
#9390;101180;01.01.1900;31.12.2099
#0635;101121;01.01.1900;31.12.2099
#1911;100670;01.01.1900;31.12.2099
#1911;100671;01.01.1900;31.12.2099
#2960;101239;01.01.1900;31.12.2099
#1234;100241;01.01.1900;31.12.2099
#1234;100300;01.01.1900;31.12.2099
#1252;100245;01.01.1900;31.12.2099
#1256;101160;01.01.1900;31.12.2099
#0636;101108;01.01.1900;31.12.2099
#0637;101112;01.01.1900;31.12.2099
#0637;101113;01.01.1900;31.12.2099
#1261;101141;01.01.1900;31.12.2099
#1241;101102;01.01.1900;31.12.2099
#0073;100324;06.02.2020;31.12.2099
#0003;100308;01.01.1900;31.12.2099
#2975;101237;01.01.1900;31.12.2099
#0805;101139;01.01.1900;31.12.2099
#1236;101137;01.01.1900;31.12.2099
#0508;100610;01.01.1900;31.12.2099
#0809;101184;01.01.1900;31.12.2099
#1263;101016;01.01.1900;31.12.2099
#2478;100507;01.01.1900;28.04.2022
#1264;101185;01.01.1900;31.12.2099
#1082;100280;01.01.1900;31.12.2099
#1083;100186;01.01.1900;31.12.2099
#1084;101077;01.01.1900;31.12.2099
#1087;100266;01.01.1900;31.12.2099
#1089;101068;01.01.1900;31.12.2099
#1090;100239;01.01.1900;31.12.2099
#1094;100271;01.01.1900;31.12.2099
#1097;100187;01.01.1900;31.12.2099
#1099;100207;01.01.1900;31.12.2099
#1103;100231;01.01.1900;31.12.2099
#1105;100998;01.01.1900;31.12.2099
#1105;100256;01.01.1900;31.12.2099
#1106;101078;01.01.1900;31.12.2099
#1112;100305;01.01.1900;31.12.2099
#1115;100188;01.01.1900;31.12.2099
#1118;101063;01.01.1900;31.12.2099
#1120;100181;23.11.2017;31.12.2099
#1123;101087;01.01.1900;31.12.2099
#1123;101091;01.01.1900;31.12.2099
#1125;100246;01.01.1900;31.05.2019
#1125;100246;01.06.2019;31.12.2099
#1126;101004;01.01.1900;31.12.2099
#1128;100955;01.01.1900;31.12.2099
#1134;100193;01.06.2014;31.12.2099
#1141;100192;20.12.2017;31.12.2099
#1142;100272;01.01.1900;31.12.2099
#1143;100979;01.01.1900;31.12.2099
#1144;100251;01.01.1900;31.05.2019
#1144;100251;01.06.2019;31.12.2099
#1145;100171;01.01.1900;31.12.2099
#1146;101098;01.01.1900;31.12.2099
#1147;100980;01.01.1900;31.12.2099
#1148;100293;27.01.2020;31.12.2099
#1153;100168;01.01.1900;31.12.2099
#1154;101085;09.12.2018;31.12.2099
#1155;101070;01.01.1900;31.12.2099
#1156;100982;01.01.1900;31.12.2099
#1157;101095;01.01.1900;31.12.2099
#1158;100215;01.01.1900;31.12.2099
#1160;100225;01.01.1900;31.12.2099
#1163;101117;01.01.1900;31.12.2099
#1163;100971;01.01.1900;31.12.2099
#1166;100983;01.01.1900;31.12.2099
#1167;100985;01.01.1900;31.12.2099
#1168;100198;01.01.1900;31.12.2099
#1169;100946;01.01.1900;31.12.2099
#1171;100216;01.01.1900;31.12.2099
#1174;100759;27.01.2020;31.12.2099
#1175;100258;01.01.1900;31.12.2099
#1176;100210;01.01.1900;31.12.2099
#1176;100967;01.01.1900;31.12.2099
#1177;101079;01.01.1900;31.12.2099
#1179;101011;01.01.1900;30.06.2021
#1181;100182;01.01.1900;31.12.2099
#1184;100984;01.01.1900;31.12.2099
#1189;100954;01.01.1900;31.12.2099
#1189;100956;01.01.1900;31.12.2099
#1189;100957;01.01.1900;31.12.2099
#1189;100959;01.01.1900;31.12.2099
#1189;100960;01.01.1900;31.12.2099
#1190;100203;01.01.1900;31.12.2099
#1192;100974;01.01.1900;31.12.2099
#1193;100975;01.01.1900;31.12.2099
#1195;100981;01.01.1900;31.12.2099
#1199;100969;20.12.2017;31.12.2099
#1200;100972;01.01.1900;31.12.2099
#1201;100961;09.12.2018;31.12.2099
#1202;100268;01.01.1900;31.12.2099
#1203;100254;01.01.1900;31.12.2099
#1204;100180;01.01.1900;31.12.2099
#1204;101032;01.01.1900;31.12.2099
#1204;101125;01.01.1900;31.12.2099
#1204;100281;01.01.1900;31.12.2099
#1205;100966;01.01.1900;31.12.2099
#1208;101710;27.08.2018;31.12.2099
#1208;101090;01.01.1900;31.12.2099
#1210;100991;01.01.1900;31.12.2099
#1216;100173;01.01.1900;31.12.2099
#1217;100174;01.01.1900;31.12.2099
#1220;100263;01.01.1900;31.12.2099
#1222;100987;01.01.1900;31.12.2099
#1227;101120;01.01.1900;31.12.2099
#1230;101035;01.01.1900;31.12.2099
#2022;1017151;30.11.2018;31.12.2099
#2039;100514;01.01.1900;31.12.2099
#1914;101123;01.01.1900;31.12.2099
#0089;101103;01.01.1900;31.12.2099
#1913;101029;01.01.1900;31.12.2099
#0325;100515;01.01.1900;31.12.2099
#9732;100236;12.12.2021;31.12.2099
#9732;100237;12.12.2021;31.12.2099
#9821;101206;01.01.1900;31.12.2099
#9896;101162;01.01.1900;31.12.2099
#9898;101163;01.01.1900;31.12.2099
#0172;100118;01.09.2019;31.12.2099
#1133;100978;01.01.1900;31.12.2099
#1021;100942;01.01.1900;27.04.2022
#1021;101818;15.10.2021;31.12.2099
#0796;100943;01.01.1900;31.12.2099
#0037;100048;01.01.1900;31.12.2099
#0037;100050;01.01.1900;31.12.2099
#0037;100074;01.01.1900;14.12.2019
#0037;100074;15.12.2019;31.12.2099
#0037;100667;01.01.1900;31.12.2099
#0037;100694;15.12.2019;31.12.2099
#0037;100694;01.01.1900;14.12.2019
#0037;101756;20.02.2019;31.12.2099
#0020;100046;01.01.1900;31.12.2099
#2799;101073;09.01.2018;31.12.2099
#0798;101816;30.07.2021;31.12.2099
#0098;100856;01.01.1900;31.12.2099
#0803;101198;01.01.1900;31.12.2099
#0632;101110;01.01.1900;31.12.2099
#0408;100080;01.01.1900;31.12.2099
#0019;100018;01.01.1900;31.12.2099
#0019;100061;01.01.1900;31.12.2099
#0019;101181;01.01.1900;31.12.2099
#0461;100091;01.01.1900;31.12.2099
#0634;100138;01.01.1900;31.12.2099
#0058;101817;04.08.2021;31.12.2099
#0058;100310;07.02.2020;31.12.2099
#0058;101780;07.02.2020;27.04.2022
#0031;100055;01.01.1900;31.12.2099
#0031;101711;28.08.2018;31.12.2099
#0031;101015;01.01.1900;31.12.2099
#0802;100521;01.01.1900;31.12.2099
#1233;100988;01.01.1900;31.12.2099
#0600;100652;01.01.1900;31.12.2099
#0600;100973;01.01.1900;31.12.2099
#1136;100183;01.01.1900;31.12.2099
#1136;101007;01.01.1900;31.12.2099
#1136;101008;01.01.1900;31.12.2099
#1136;101009;01.01.1900;31.12.2099
#1136;101010;01.01.1900;31.12.2099
#0070;100342;01.01.1900;31.12.2099
#2919;100075;06.02.2020;31.12.2099
#1041;101777;27.01.2020;31.12.2099
#1041;101778;27.01.2020;31.12.2099
#1041;101830;11.01.2022;31.12.2099
#1041;101014;01.01.1900;31.12.2099
#1902;101178;01.01.1900;31.12.2099
#1903;101179;01.01.1900;31.12.2099
#1102;100240;01.01.1900;31.12.2099
#1240;101003;01.01.1900;31.12.2099
#0695;100185;01.01.1900;31.12.2099
#0694;100235;01.01.1900;31.12.2099
#0693;100248;01.01.1900;31.12.2099
#0692;100202;01.01.1900;31.12.2099
#0691;100221;01.01.1900;31.12.2099
#0823;101215;01.01.1900;31.12.2099
#1304;100977;01.01.1900;31.12.2099
#0825;101218;01.01.1900;31.12.2099
#2864;101763;15.07.2019;31.12.2099
#0757;101150;01.01.1900;31.12.2099
#1314;100965;01.01.1900;31.12.2099
#1315;101037;01.01.1900;31.12.2099
#1316;100299;01.01.1900;31.12.2099
#0251;100994;01.01.1900;27.04.2022
#0251;100034;01.01.1900;31.12.2099
#0251;100593;01.01.1900;31.12.2099
#0251;100633;01.01.1900;31.12.2099
#0251;100945;01.01.1900;31.12.2099
#1274;101072;01.01.1900;31.12.2099
#1275;101048;01.01.1900;31.12.2099
#1277;101052;01.01.1900;31.12.2099
#1278;101080;01.01.1900;31.12.2099
#1279;101033;01.01.1900;31.12.2099
#1282;101082;01.01.1900;31.12.2099
#1284;101055;01.01.1900;31.12.2099
#1285;101026;01.01.1900;31.12.2099
#1286;100303;01.01.1900;31.12.2099
#1288;100953;01.01.1900;31.12.2099
#1289;101076;01.01.1900;31.12.2099
#1290;101097;01.01.1900;31.12.2099
#1291;101062;01.01.1900;31.12.2099
#1292;101099;01.01.1900;31.12.2099
#1294;100160;01.01.1900;31.12.2099
#0369;101196;01.01.1900;31.12.2099
#0436;101030;01.01.1900;31.12.2099
#0818;101145;01.01.1900;31.12.2099
#1293;100247;01.01.1900;31.12.2099
#9300;100508;01.01.1900;16.06.2021
#0643;100321;09.06.2020;27.04.2022
#0643;101122;01.01.1900;27.04.2022
#0820;101208;01.01.1900;31.12.2099
#0077;101230;01.01.1900;31.12.2099
#0642;100317;01.01.1900;31.12.2099
#0642;100318;01.01.1900;31.12.2099
#0816;101200;01.01.1900;31.12.2099
#9388;101207;01.01.1900;31.12.2099
#1249;101000;01.01.1900;31.12.2099
#1249;101118;01.01.1900;31.12.2099
#0807;101144;01.01.1900;31.12.2099
#0806;101774;15.11.2019;31.12.2099
#1276;101059;01.01.1900;31.12.2099
#1276;101060;01.01.1900;31.12.2099
#1280;101039;01.01.1900;31.12.2099
#1281;100995;01.01.1900;31.12.2099
#1283;101061;01.01.1900;31.12.2099
#1266;100273;01.01.1900;31.12.2099
#2825;101238;01.01.1900;31.12.2099
#0638;101111;01.01.1900;31.12.2099
#1273;101114;01.01.1900;31.12.2099
#0005;100038;01.01.1900;31.12.2099
#0005;100039;01.01.1900;31.12.2099
#1295;100184;01.01.1900;31.12.2099
#1268;101075;01.01.1900;31.12.2099
#1250;100290;09.12.2018;27.04.2022
#1250;100204;01.01.1900;27.04.2022
#1250;100209;09.12.2018;31.12.2099
#1269;101202;01.01.1900;31.12.2099
#1296;101210;01.01.1900;31.12.2099
#1297;101012;01.01.1900;31.12.2099
#1297;101119;01.01.1900;31.12.2099
#0367;100604;01.01.1900;31.12.2099
#1198;100191;01.01.1900;31.12.2099
#1239;101001;01.01.1900;31.12.2099
#1017;100159;01.01.1900;31.12.2099
#0601;100143;01.01.1900;31.12.2099
#0047;100025;01.01.1900;31.12.2099
#0047;100054;01.01.1900;31.12.2099
#0047;100124;01.01.1900;31.12.2099
#0047;100127;01.01.1900;31.12.2099
#0047;100594;01.01.1900;31.12.2099
#0047;100598;01.01.1900;31.12.2099
#0047;101264;01.01.1900;31.12.2099
#0047;101265;01.01.1900;31.12.2099
#0822;101211;01.01.1900;31.12.2099
#1309;101027;01.01.1900;31.12.2099
#0476;100086;01.01.1900;31.12.2099
#1305;101212;01.01.1900;31.12.2099
#1306;101213;01.01.1900;31.12.2099
#1307;101214;01.01.1900;31.12.2099
#1129;100294;01.01.1900;31.12.2099
#0030;100440;27.01.2020;31.12.2099
#1320;100306;01.01.1900;31.12.2099
#1321;100270;01.01.1900;31.12.2099
#0826;101220;01.01.1900;31.12.2099
#1326;101811;23.09.2020;31.12.2099
#1329;101813;08.12.2020;31.12.2099
#1330;101221;01.01.1900;31.12.2099
#1332;101041;01.01.1900;31.12.2099
#1336;101050;20.12.2017;31.12.2099
#1338;101753;17.01.2019;31.12.2099
#0644;101116;01.01.1900;31.12.2099
#1342;100569;07.07.2018;31.12.2099
#1219;101069;01.01.1900;31.12.2099
#1344;101706;29.05.2018;31.12.2099
#0605;100144;01.01.1900;31.12.2099
#1347;101224;01.01.1900;31.12.2099
#0804;101188;01.01.1900;31.12.2099
#0801;100574;01.09.2019;31.12.2099
#1287;101071;01.01.1900;31.12.2099
#1267;101203;01.01.1900;31.12.2099
#1353;101768;07.10.2019;31.12.2099
#0828;101767;09.09.2019;31.12.2099
#1354;101769;07.10.2019;31.12.2099
#1600;101776;26.11.2019;31.12.2099
#1356;101775;22.11.2019;31.12.2099
#1361;101011;01.07.2021;31.12.2099
#6010;101204;08.10.2021;31.12.2099
#0650;100142;19.01.2022;31.12.2099
#0650;100151;19.01.2022;31.12.2099
#0651;101832;14.03.2022;31.12.2099
#1377;101045;24.06.2022;31.12.2099
#1104;100223;01.01.1900;31.12.2099
#3123;101829;03.01.2022;31.12.2099
#9301;101828;21.12.2021;31.12.2099
#9301;100508;17.06.2021;31.12.2099
